LAP,PILOT,CHANNEL,FREQUENCY,TIME,RECORDED AT
1,Pilot 1 Alex,R2,5695,0:05.204,2018-09-15T14:41:23.213-0500
2,Pilot 1 Alex,R2,5695,0:07.809,2018-09-15T14:41:30.951-0500
3,Pilot 1 Alex,R2,5695,0:05.405,2018-09-15T14:41:36.411-0500
4,Pilot 1 Alex,R2,5695,0:06.469,2018-09-15T14:41:42.788-0500
