LAP,PILOT,CHANNEL,FREQUENCY,TIME,RECORDED AT
1,Pilot 1 Alex,R2,5695,0:05.041,2018-09-13T22:19:04.593-0500
2,Pilot 1 Alex,R2,5695,0:05.246,2018-09-13T22:19:09.842-0500
3,Pilot 1 Alex,R2,5695,0:06.756,2018-09-13T22:19:16.592-0500
4,Pilot 1 Alex,R2,5695,0:06.382,2018-09-13T22:19:23.5-0500
5,Pilot 1 Alex,R2,5695,0:28.015,2018-09-13T22:19:51.886-0500
6,Pilot 1 Alex,R2,5695,0:11.098,2018-09-13T22:20:02.141-0500
7,Pilot 1 Alex,R2,5695,0:07.008,2018-09-13T22:20:09.153-0500
8,Pilot 1 Alex,R2,5695,0:05.305,2018-09-13T22:20:14.380-0500
